;transcript_4-9_ppan;transcript_4-15_ppan;transcript_4-19_ppan;transcript_4-30_ppan;transcript_4-32_ppan;transcript_4-34_ppan;transcript_4-38_ppan;transcript_4-39_ppan;transcript_5-9_ptro;transcript_5-15_ptro;transcript_5-19_ptro;transcript_5-30_ptro;transcript_5-32_ptro;transcript_5-34_ptro;transcript_5-38_ptro;transcript_5-39_ptro;transcript_6-9_hsap;transcript_6-14_hsap;transcript_6-15_hsap;transcript_6-19_hsap;transcript_6-49_hsap;transcript_6-50_hsap
transcript_4-9_ppan;1.0;0.978;0.869;0.997;0.976;0.973;0.995;0.867;1.0;0.978;0.869;0.997;0.976;0.973;0.995;0.867;1.0;0.871;0.978;0.869;0.861;0.779
transcript_4-15_ppan;0.978;1.0;0.847;0.976;0.997;0.995;0.973;0.845;0.978;1.0;0.847;0.976;0.997;0.995;0.973;0.845;0.978;0.849;1.0;0.847;0.839;0.757
transcript_4-19_ppan;0.869;0.847;1.0;0.866;0.844;0.842;0.864;0.997;0.869;0.847;1.0;0.866;0.844;0.842;0.864;0.997;0.869;0.997;0.847;1.0;0.986;0.892
transcript_4-30_ppan;0.997;0.976;0.866;1.0;0.973;0.971;0.998;0.864;0.997;0.976;0.866;1.0;0.973;0.971;0.998;0.864;0.997;0.869;0.976;0.866;0.858;0.776
transcript_4-32_ppan;0.976;0.997;0.844;0.973;1.0;0.998;0.971;0.842;0.976;0.997;0.844;0.973;1.0;0.998;0.971;0.842;0.976;0.847;0.997;0.844;0.837;0.755
transcript_4-34_ppan;0.973;0.995;0.842;0.971;0.998;1.0;0.968;0.844;0.973;0.995;0.842;0.971;0.998;1.0;0.968;0.844;0.973;0.844;0.995;0.842;0.834;0.752
transcript_4-38_ppan;0.995;0.973;0.864;0.998;0.971;0.968;1.0;0.862;0.995;0.973;0.864;0.998;0.971;0.968;1.0;0.862;0.995;0.866;0.973;0.864;0.856;0.774
transcript_4-39_ppan;0.867;0.845;0.997;0.864;0.842;0.844;0.862;1.0;0.867;0.845;0.997;0.864;0.842;0.844;0.862;1.0;0.867;0.995;0.845;0.997;0.983;0.889
transcript_5-9_ptro;1.0;0.978;0.869;0.997;0.976;0.973;0.995;0.867;1.0;0.978;0.869;0.997;0.976;0.973;0.995;0.867;1.0;0.871;0.978;0.869;0.861;0.779
transcript_5-15_ptro;0.978;1.0;0.847;0.976;0.997;0.995;0.973;0.845;0.978;1.0;0.847;0.976;0.997;0.995;0.973;0.845;0.978;0.849;1.0;0.847;0.839;0.757
transcript_5-19_ptro;0.869;0.847;1.0;0.866;0.844;0.842;0.864;0.997;0.869;0.847;1.0;0.866;0.844;0.842;0.864;0.997;0.869;0.997;0.847;1.0;0.986;0.892
transcript_5-30_ptro;0.997;0.976;0.866;1.0;0.973;0.971;0.998;0.864;0.997;0.976;0.866;1.0;0.973;0.971;0.998;0.864;0.997;0.869;0.976;0.866;0.858;0.776
transcript_5-32_ptro;0.976;0.997;0.844;0.973;1.0;0.998;0.971;0.842;0.976;0.997;0.844;0.973;1.0;0.998;0.971;0.842;0.976;0.847;0.997;0.844;0.837;0.755
transcript_5-34_ptro;0.973;0.995;0.842;0.971;0.998;1.0;0.968;0.844;0.973;0.995;0.842;0.971;0.998;1.0;0.968;0.844;0.973;0.844;0.995;0.842;0.834;0.752
transcript_5-38_ptro;0.995;0.973;0.864;0.998;0.971;0.968;1.0;0.862;0.995;0.973;0.864;0.998;0.971;0.968;1.0;0.862;0.995;0.866;0.973;0.864;0.856;0.774
transcript_5-39_ptro;0.867;0.845;0.997;0.864;0.842;0.844;0.862;1.0;0.867;0.845;0.997;0.864;0.842;0.844;0.862;1.0;0.867;0.995;0.845;0.997;0.983;0.889
transcript_6-9_hsap;1.0;0.978;0.869;0.997;0.976;0.973;0.995;0.867;1.0;0.978;0.869;0.997;0.976;0.973;0.995;0.867;1.0;0.871;0.978;0.869;0.861;0.779
transcript_6-14_hsap;0.871;0.849;0.997;0.869;0.847;0.844;0.866;0.995;0.871;0.849;0.997;0.869;0.847;0.844;0.866;0.995;0.871;1.0;0.849;0.997;0.988;0.894
transcript_6-15_hsap;0.978;1.0;0.847;0.976;0.997;0.995;0.973;0.845;0.978;1.0;0.847;0.976;0.997;0.995;0.973;0.845;0.978;0.849;1.0;0.847;0.839;0.757
transcript_6-19_hsap;0.869;0.847;1.0;0.866;0.844;0.842;0.864;0.997;0.869;0.847;1.0;0.866;0.844;0.842;0.864;0.997;0.869;0.997;0.847;1.0;0.986;0.892
transcript_6-49_hsap;0.861;0.839;0.986;0.858;0.837;0.834;0.856;0.983;0.861;0.839;0.986;0.858;0.837;0.834;0.856;0.983;0.861;0.988;0.839;0.986;1.0;0.883
transcript_6-50_hsap;0.779;0.757;0.892;0.776;0.755;0.752;0.774;0.889;0.779;0.757;0.892;0.776;0.755;0.752;0.774;0.889;0.779;0.894;0.757;0.892;0.883;1.0
