;transcript_4-5_ppan;transcript_4-12_ppan;transcript_4-14_ppan;transcript_4-21_ppan;transcript_4-23_ppan;transcript_4-26_ppan;transcript_5-5_ptro;transcript_5-12_ptro;transcript_5-14_ptro;transcript_5-21_ptro;transcript_5-23_ptro;transcript_5-26_ptro;transcript_6-5_hsap;transcript_6-12_hsap;transcript_6-14_hsap;transcript_6-38_hsap;transcript_7-5_ggor
transcript_4-5_ppan;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;1.0
transcript_4-12_ppan;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.988
transcript_4-14_ppan;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_4-21_ppan;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.988
transcript_4-23_ppan;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_4-26_ppan;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_5-5_ptro;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;1.0
transcript_5-12_ptro;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.988
transcript_5-14_ptro;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_5-21_ptro;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.988
transcript_5-23_ptro;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_5-26_ptro;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_6-5_hsap;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;1.0
transcript_6-12_hsap;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.988
transcript_6-14_hsap;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;1.0;1.0;0.977;0.989;1.0;0.989;0.977
transcript_6-38_hsap;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.989;0.989;0.988;1.0;0.989;1.0;0.988
transcript_7-5_ggor;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;0.977;0.977;1.0;0.988;0.977;0.988;1.0
