;transcript_4-9_ppan;transcript_4-10_ppan;transcript_4-17_ppan;transcript_4-18_ppan;transcript_4-21_ppan;transcript_4-22_ppan;transcript_5-9_ptro;transcript_5-10_ptro;transcript_5-17_ptro;transcript_5-18_ptro;transcript_5-21_ptro;transcript_5-22_ptro;transcript_6-2_hsap;transcript_6-9_hsap;transcript_6-10_hsap;transcript_7-2_ggor;transcript_8-2_pabe
transcript_4-9_ppan;1.0;0.479;0.986;0.466;0.987;0.974;1.0;0.479;0.986;0.466;0.987;0.974;0.909;1.0;0.479;0.909;0.909
transcript_4-10_ppan;0.479;1.0;0.466;0.978;0.485;0.455;0.479;1.0;0.466;0.978;0.485;0.455;0.57;0.479;1.0;0.57;0.57
transcript_4-17_ppan;0.986;0.466;1.0;0.454;0.974;0.987;0.986;0.466;1.0;0.454;0.974;0.987;0.896;0.986;0.466;0.896;0.896
transcript_4-18_ppan;0.466;0.978;0.454;1.0;0.472;0.442;0.466;0.978;0.454;1.0;0.472;0.442;0.558;0.466;0.978;0.558;0.558
transcript_4-21_ppan;0.987;0.485;0.974;0.472;1.0;0.961;0.987;0.485;0.974;0.472;1.0;0.961;0.897;0.987;0.485;0.897;0.897
transcript_4-22_ppan;0.974;0.455;0.987;0.442;0.961;1.0;0.974;0.455;0.987;0.442;0.961;1.0;0.885;0.974;0.455;0.885;0.885
transcript_5-9_ptro;1.0;0.479;0.986;0.466;0.987;0.974;1.0;0.479;0.986;0.466;0.987;0.974;0.909;1.0;0.479;0.909;0.909
transcript_5-10_ptro;0.479;1.0;0.466;0.978;0.485;0.455;0.479;1.0;0.466;0.978;0.485;0.455;0.57;0.479;1.0;0.57;0.57
transcript_5-17_ptro;0.986;0.466;1.0;0.454;0.974;0.987;0.986;0.466;1.0;0.454;0.974;0.987;0.896;0.986;0.466;0.896;0.896
transcript_5-18_ptro;0.466;0.978;0.454;1.0;0.472;0.442;0.466;0.978;0.454;1.0;0.472;0.442;0.558;0.466;0.978;0.558;0.558
transcript_5-21_ptro;0.987;0.485;0.974;0.472;1.0;0.961;0.987;0.485;0.974;0.472;1.0;0.961;0.897;0.987;0.485;0.897;0.897
transcript_5-22_ptro;0.974;0.455;0.987;0.442;0.961;1.0;0.974;0.455;0.987;0.442;0.961;1.0;0.885;0.974;0.455;0.885;0.885
transcript_6-2_hsap;0.909;0.57;0.896;0.558;0.897;0.885;0.909;0.57;0.896;0.558;0.897;0.885;1.0;0.909;0.57;1.0;1.0
transcript_6-9_hsap;1.0;0.479;0.986;0.466;0.987;0.974;1.0;0.479;0.986;0.466;0.987;0.974;0.909;1.0;0.479;0.909;0.909
transcript_6-10_hsap;0.479;1.0;0.466;0.978;0.485;0.455;0.479;1.0;0.466;0.978;0.485;0.455;0.57;0.479;1.0;0.57;0.57
transcript_7-2_ggor;0.909;0.57;0.896;0.558;0.897;0.885;0.909;0.57;0.896;0.558;0.897;0.885;1.0;0.909;0.57;1.0;1.0
transcript_8-2_pabe;0.909;0.57;0.896;0.558;0.897;0.885;0.909;0.57;0.896;0.558;0.897;0.885;1.0;0.909;0.57;1.0;1.0
